panel_id,image_name,max_temperature,avg_temperature,thermal_gradient,hotspot_intensity,pixel_variance,stat_result,km_result,iso_result,svm_result,votes_out_of_4,consensus,severity,predicted_severity,confidence_%
Timage1,Timage1.png,224.0,41.53857421875,22.208135984009694,197.77998169057065,1124.0779,Anomalous,Normal,Anomalous,Normal,2,Anomalous,Normal,Normal,85.3
Timage10,Timage10.png,255.0,103.44680786132812,26.560845759545487,247.15738203957383,1346.1686,Normal,Normal,Normal,Anomalous,1,Normal,Critical,Critical,83.8
Timage11,Timage11.png,255.0,91.50013732910156,26.84446420379873,243.28191167574107,1391.9494,Normal,Normal,Normal,Normal,0,Normal,Warning,Critical,72.1
Timage12,Timage12.png,255.0,102.5080108642578,25.45719094753009,246.7147201946472,1346.1223,Normal,Normal,Normal,Normal,0,Normal,Warning,Critical,59.1
Timage13,Timage13.png,253.0,69.56245422363281,20.159159687285246,229.01701093560143,1636.8044,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,74.4
Timage14,Timage14.png,251.0,57.37809753417969,21.779112669563112,224.74281437125748,1722.7797,Normal,Normal,Normal,Anomalous,1,Normal,Warning,Warning,65.4
Timage15,Timage15.png,230.0,52.43902587890625,19.71357775386349,205.0249474000601,1425.2151,Anomalous,Normal,Normal,Normal,1,Normal,Normal,Normal,71.4
Timage16,Timage16.png,249.0,62.07635498046875,35.24887234190267,197.80169286577996,1136.4713,Normal,Anomalous,Normal,Anomalous,2,Anomalous,Warning,Warning,85.2
Timage17,Timage17.png,252.0,89.0018310546875,32.90085503775376,211.54338719329743,1002.905,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,94.7
Timage18,Timage18.png,252.0,83.22071838378906,31.12569742962621,210.4993909866017,1031.6603,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,94.7
Timage19,Timage19.png,251.0,93.12718200683594,32.531377902908964,243.0272536687631,2503.9593,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,86.8
Timage2,Timage2.png,250.0,54.59751892089844,24.855686708997712,219.9881710646042,1334.7183,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,53.7
Timage20,Timage20.png,241.0,105.83428955078124,35.80910221093123,235.76599474145488,2679.7253,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,97.0
Timage21,Timage21.png,213.0,86.76438903808594,33.36463250817579,207.4508359308586,2114.0106,Anomalous,Anomalous,Anomalous,Normal,3,Anomalous,Normal,Normal,92.9
Timage22,Timage22.png,224.0,91.670166015625,35.4219438414665,216.96186203028603,2291.1868,Normal,Anomalous,Normal,Normal,1,Normal,Warning,Warning,73.1
Timage23,Timage23.png,199.0,143.57809448242188,27.966478157633187,197.2643163588883,3384.9751,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Normal,Normal,81.8
Timage24,Timage24.png,235.0,53.63717651367188,29.360732246878968,184.614476075106,1714.3024,Anomalous,Normal,Anomalous,Normal,2,Anomalous,Normal,Normal,98.5
Timage25,Timage25.png,212.0,36.59751892089844,25.935841177355936,153.20755813953488,1388.4182,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Normal,Normal,81.5
Timage26,Timage26.png,238.0,53.50263977050781,29.19724628437677,187.61062215478,1814.2191,Anomalous,Normal,Anomalous,Normal,2,Anomalous,Normal,Normal,96.7
Timage27,Timage27.png,250.0,65.13249206542969,33.69421761979023,199.22680412371133,1172.1403,Normal,Anomalous,Normal,Normal,1,Normal,Warning,Warning,91.4
Timage28,Timage28.png,249.0,91.3856201171875,32.05969482896965,210.32632541133452,988.5198,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,92.7
Timage29,Timage29.png,243.0,72.26382446289062,31.972071972494174,196.79127819548876,1043.1751,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,73.7
Timage3,Timage3.png,253.0,62.83064270019531,24.42637388383161,220.8993288590604,1342.6571,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,72.9
Timage30,Timage30.png,218.0,70.19973754882812,15.997731599283757,174.1838699969907,1323.8201,Anomalous,Normal,Anomalous,Normal,2,Anomalous,Normal,Normal,61.3
Timage31,Timage31.png,252.0,96.9075927734375,22.86620016676657,241.5196992481203,2510.113,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,92.9
Timage32,Timage32.png,254.0,113.12823486328124,21.19447662231423,243.1967361740707,2253.5684,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,83.9
Timage33,Timage33.png,254.0,114.4836883544922,21.76766381739247,246.08977858659387,2344.3804,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,92.1
Timage34,Timage34.png,221.0,68.85585021972656,21.313707280992084,207.6835290575128,1703.1625,Normal,Normal,Normal,Normal,0,Normal,Normal,Normal,92.8
Timage35,Timage35.png,210.0,56.27864074707031,22.26982160141884,198.3920917597344,1728.6478,Anomalous,Normal,Anomalous,Anomalous,3,Anomalous,Normal,Normal,97.4
Timage36,Timage36.png,212.0,60.30531311035156,23.167432339174187,200.12693592468872,1695.0081,Anomalous,Normal,Normal,Normal,1,Normal,Normal,Normal,93.0
Timage37,Timage37.png,250.0,104.1576690673828,20.28412130667778,204.2111278195489,1926.0782,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,81.0
Timage38,Timage38.png,250.0,101.9197998046875,19.64348888457879,203.68780339805824,1835.3415,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,77.7
Timage39,Timage39.png,238.0,90.27687072753906,18.548817849026275,188.44464232710004,1738.6048,Normal,Normal,Normal,Normal,0,Normal,Normal,Normal,90.4
Timage4,Timage4.png,246.0,135.406982421875,32.59822131045517,233.92571599045343,3094.2143,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,99.4
Timage40,Timage40.png,255.0,155.9618682861328,19.260958546853427,246.22826969943137,4181.4552,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Warning,Warning,97.6
Timage41,Timage41.png,252.0,145.2965850830078,20.98999949277429,244.131861575179,4479.5106,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Warning,Warning,92.9
Timage42,Timage42.png,229.0,121.32380676269533,19.239694827257686,217.32837953701056,3763.4748,Anomalous,Anomalous,Anomalous,Anomalous,4,Anomalous,Warning,Warning,94.6
Timage43,Timage43.png,254.0,90.24977111816406,23.10512593200546,250.73075780089152,2025.7986,Anomalous,Normal,Normal,Anomalous,2,Anomalous,Critical,Critical,97.0
Timage44,Timage44.png,242.0,84.44795227050781,21.20128624014982,236.4732547597461,1763.0807,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,79.5
Timage45,Timage45.png,247.0,89.07624816894531,22.292420287509422,243.42887602802315,1890.7414,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,70.2
Timage46,Timage46.png,235.0,99.68748474121094,35.40582619425708,223.1108179419525,2836.4662,Normal,Normal,Normal,Normal,0,Normal,Warning,Warning,96.1
